text,label
"Sincèrement, ce coach sportif m'a permis de progresser rapidement grâce à des conseils personnalisés. Rien à redire.",positif
"Cette plateforme en ligne est disponible sur ordinateur, tablette et smartphone. Voir les conditions générales.",neutre
"Sincèrement, ce site web fonctionne parfaitement sans aucun bug depuis l'installation. Je recommande vivement.",positif
"Sans hésiter, ce téléviseur offre des performances impressionnantes pour ce prix. Rien à redire.",positif
"Sans surprise, le résultat chez ce spa était très éloigné de ce qui était promis.",négatif
"Pour information, les charges de ce syndic de copropriété incluent l'eau et le chauffage collectif.",neutre
"Sincèrement, le centre d'appel m'a rappelé comme promis et a tenu tous ses engagements. Rien à redire.",positif
Je regrette de dire que ce supermarché a doublé ses prix sans aucune amélioration de la qualité. À éviter absolument.,négatif
"Malheureusement, ce concessionnaire nous a fait attendre des semaines pour un simple contrôle. Quelle déception.",négatif
Le service après-vente m'a raccroché au nez sans résoudre mon problème.,négatif
"Franchement, ce concessionnaire a fait un diagnostic précis et une réparation impeccable. Je recommande vivement.",positif
Ce supermarché accepte les tickets restaurant. Voir les conditions générales.,neutre
Je regrette de dire que cette banque multiplie les frais cachés qui n'étaient jamais mentionnés. Je ne recommande pas du tout.,négatif
"Sincèrement, le personnel soignant de ce cabinet médical a été d'une grande humanité. Bravo à toute l'équipe.",positif
"Selon le site officiel, ce produit alimentaire affiche une liste d'ingrédients complète sur l'emballage. Plus d'informations sur le site officiel.",neutre
À noter que cette piscine municipale propose un abonnement mensuel sans engagement.,neutre
"Honnêtement, cette marque de produits bio respecte vraiment ses engagements en matière de qualité biologique.",positif
"Sans surprise, le résultat chez ce salon de coiffure était très éloigné de ce qui était promis. Je ne recommande pas du tout.",négatif
"Pour être franc, ce transporteur égare régulièrement les colis qui lui sont confiés.",négatif
"Pour information, ce cours collectif est ouvert de six heures à vingt-trois heures en semaine. Plus d'informations sur le site officiel.",neutre
"Sans hésiter, ce garage propose des tarifs transparents et sans surprise. Une très belle surprise.",positif
Ce programme universitaire est éligible au financement par le compte personnel de formation.,neutre
"Honnêtement, ce processus de recrutement comportait des entretiens pertinents et bien préparés. Je recommande vivement.",positif
"Sans hésiter, l'intégration chez cet employeur a été particulièrement bien organisée. Je recommande vivement.",positif
"Franchement, cette épicerie propose des produits frais et de très bonne qualité.",positif
"Pour information, ce vol propose des billets remboursables moyennant un supplément.",neutre
"Pour être franc, ce trajet en bus était bondé et il n'y avait aucune place assise disponible. Je ne recommande pas du tout.",négatif
Cet appartement propose une surface habitable de soixante-dix mètres carrés.,neutre
"Pour être franc, ce dentiste m'a fait attendre plus de trois heures sans aucune explication. À éviter absolument.",négatif
"Selon le site officiel, l'accès à ce cours collectif nécessite une carte magnétique personnelle. Voir les conditions générales.",neutre
"Sincèrement, nous avons passé un moment délicieux à ce restaurant gastronomique, tout était parfait. Une très belle surprise.",positif
Cette boutique en ligne propose plusieurs options de livraison à des tarifs variables.,neutre
"Honnêtement, cette application est devenue payante du jour au lendemain sans prévenir les utilisateurs. Plus jamais.",négatif
"Selon le site officiel, cette agence de voyage nécessite un acompte de trente pour cent à la réservation. Voir les conditions générales.",neutre
Le check-in à ce complexe hôtelier se fait à partir de quatorze heures. Plus d'informations sur le site officiel.,neutre
À noter que les frais de cette livraison dépendent du poids total du colis. Voir les conditions générales.,neutre
À noter que ce garage accepte les paiements en plusieurs fois sans frais. Voir les conditions générales.,neutre
"Honnêtement, cette plateforme en ligne a considérablement simplifié ma gestion administrative. Une très belle surprise.",positif
Le service à cette pizzeria était attentionné sans être envahissant. Je recommande vivement.,positif
Cette compagnie aérienne propose plusieurs formules tarifaires selon la période. Plus d'informations sur le site officiel.,neutre
"Malheureusement, cette compagnie aérienne a été particulièrement impolie avec les passagers. À éviter absolument.",négatif
Cette préfecture est ouverte du lundi au vendredi sur rendez-vous. Plus d'informations sur le site officiel.,neutre
"Pour information, la garantie de cet appareil photo est valable deux ans à partir de l'achat. Voir les conditions générales.",neutre
À noter que les tarifs de ce salon de coiffure varient selon la prestation choisie. Voir les conditions générales.,neutre
"Sincèrement, le personnel soignant de ce laboratoire d'analyses a été d'une grande humanité. Une très belle surprise.",positif
Cette révision a été effectuée rapidement et sans surcoût par rapport au devis initial.,positif
"Franchement, ce musée a proposé une programmation riche et originale. Je recommande vivement.",positif
"Honnêtement, ce processus de recrutement n'a jamais donné suite après trois entretiens successifs. Quelle déception.",négatif
"Sans surprise, ma connexion internet met des semaines à intervenir en cas de panne signalée.",négatif
Ce supermarché est ouvert tous les jours de huit à vingt heures. Voir les conditions générales.,neutre
"Malheureusement, l'organisation de ce spectacle était chaotique, files d'attente interminables. Je ne recommande pas du tout.",négatif
Je regrette de dire que le support en ligne n'a jamais répondu à mes trois emails de réclamation.,négatif
"Sans hésiter, cette livraison est arrivée un jour plus tôt que prévu, quelle bonne surprise. Je recommande vivement.",positif
"Sans surprise, ce vol a subi un retard de plus de quatre heures sans explication claire. Quelle déception.",négatif
"Malheureusement, cette agence de voyage a été bien en dessous de ce qui était décrit dans la brochure. À éviter absolument.",négatif
"Honnêtement, ce forfait téléphonique propose un excellent rapport qualité-prix comparé à la concurrence. Rien à redire.",positif
Je regrette de dire que l'accueil à ce dentiste a été particulièrement froid et expéditif. À éviter absolument.,négatif
"Malheureusement, cette marque de produits bio contient des additifs qui ne sont pas clairement indiqués sur l'emballage. Plus jamais.",négatif
Je dois dire que cette compagnie aérienne propose un service fiable et un excellent accueil.,positif
"Franchement, ce cours collectif propose des cours variés adaptés à tous les niveaux. Une très belle surprise.",positif
"Malheureusement, ce coach sportif arrive systématiquement en retard aux rendez-vous fixés. Plus jamais.",négatif
"Pour information, les documents pour cette mutuelle peuvent être envoyés par courrier ou en agence. Plus d'informations sur le site officiel.",neutre
Le colis peut être suivi en temps réel via l'application. Voir les conditions générales.,neutre
